"name"	 "X180913.190529_Brain_S36"	 "X32141643_EXO_S1"	 "X32141786_EXO_S2"	 "X32150013_EXO_S3"	 "X32150076_EXO_S4"	 "X32150080_EXO_S5"	 "X32150147_EXO_S6"	 "X32150163_EXO_S7"	 "X32150243_EXO_S8"	 "X32150292_EXO_S9"	 "X32150424_EXO_S10"	 "X32150696_EXO_S11"	 "X32150698_EXO_S12"	 "X32150825_EXO_S13"	 "X32150844_EXO_S14"	 "X32150849_EXO_S15"	 "X32150993_EXO_S16"	 "X32151026_EXO_S17"	 "X32151125_EXO_S18"	 "X32151152_EXO_S19"	 "X32151180_EXO_S20"	 "X32151226_EXO_S21"	 "X32151444_EXO_S22"	 "X32151565_EXO_S23"	 "X32151667_EXO_S24"	 "X32151691_EXO_S25"	 "X32151725_EXO_S26"	 "X32151765_EXO_S27"	 "X32151859_EXO_S28"	 "X32151881_EXO_S29"	 "X32151984_EXO_S30"	 "X32152084_EXO_S31"	 "X32152094_EXO_S32"	 "X32152253_EXO_S33"	 "X32152273_EXO_S34"	 "X32152341_EXO_S35"
"53"	 "hsa-miR-320a-3p"	 11885	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"54"	 "hsa-miR-218-5p"	 11867	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"55"	 "hsa-miR-151a-3p"	 10739	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"56"	 "hsa-miR-379-5p"	 10488	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"57"	 "hsa-miR-329-3p"	 10396	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"58"	 "hsa-miR-23a-3p"	 9242	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"59"	 "hsa-miR-149-5p"	 9189	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"60"	 "hsa-miR-369-3p"	 9153	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"61"	 "hsa-miR-146b-5p"	 9028	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"62"	 "hsa-miR-495-3p"	 8749	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"63"	 "hsa-miR-433-3p"	 8500	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"64"	 "hsa-miR-338-3p"	 8290	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"65"	 "hsa-miR-95-3p"	 8150	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"66"	 "hsa-miR-423-3p"	 8018	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"67"	 "hsa-miR-769-5p"	 7525	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"68"	 "hsa-miR-22-3p"	 7502	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
