sample	batch		value
32160008_EXO_S24	180726-190530	readsAdapterNotFoundPerc	1.32312524908586
32151370_EXO_S14	180726-190530	readsAdapterNotFoundPerc	1.08597119845136
32150690_EXO_S2	180726-190530	readsAdapterNotFoundPerc	1.47181531671073
32151510_EXO_S15	180726-190530	readsAdapterNotFoundPerc	1.25801572390707
32160118_EXO_S26	180726-190530	readsAdapterNotFoundPerc	1.2124730123642
32150162_EXO_S11	180726-190530	readsAdapterNotFoundPerc	1.20455374783955
32151633_EXO_S16	180726-190530	readsAdapterNotFoundPerc	1.01040791763156
32152263_EXO_S7	180726-190530	readsAdapterNotFoundPerc	0.894147752727936
32152081_EXO_S18	180726-190530	readsAdapterNotFoundPerc	1.19333077953374
32152276_EXO_S21	180726-190530	readsAdapterNotFoundPerc	1.5640784527386
32160740_EXO_S29	180726-190530	readsAdapterNotFoundPerc	1.33854199773117
32152259_EXO_S20	180726-190530	readsAdapterNotFoundPerc	1.22359451084178
32160002_EXO_S23	180726-190530	readsAdapterNotFoundPerc	0.871184054664932
32161448_EXO_S32	180726-190530	readsAdapterNotFoundPerc	1.09609198348392
32152082_EXO_S19	180726-190530	readsAdapterNotFoundPerc	1.64927662742148
