sample	batch		value
32151151_EXO_S3	181023-190319	shortReadsPerc	12.167786201974266
32170329_EXO_S24	181023-190319	shortReadsPerc	11.465181925865748
32170337_EXO_S25	181023-190319	shortReadsPerc	10.32295666312457
32160079_EXO_S13	181023-190319	shortReadsPerc	16.301754957255653
32152347_EXO_S11	181023-190319	shortReadsPerc	13.984731880279698
32160791_EXO_S16	181023-190319	shortReadsPerc	15.870510126169789
32161000_EXO_S17	181023-190319	shortReadsPerc	14.39111278449514
32160288_EXO_S14	181023-190319	shortReadsPerc	12.16375823738415
32170032_EXO_S21	181023-190319	shortReadsPerc	14.943269452744886
32170447_EXO_S28	181023-190319	shortReadsPerc	14.299042722391167
32160018_EXO_S12	181023-190319	shortReadsPerc	15.31592538254913
32170073_EXO_S22	181023-190319	shortReadsPerc	12.41255135736829
32161249_EXO_S19	181023-190319	shortReadsPerc	13.876124254223978
32151764_EXO_S5	181023-190319	shortReadsPerc	13.967699902643366
32161037_EXO_S18	181023-190319	shortReadsPerc	16.04256463934438
32151640_EXO_S32	180322-190603	readsAdapterNotFoundPerc	3.05507632092531
32151675_EXO_S28	180322-190603	readsAdapterNotFoundPerc	3.72126960963152
32151681_EXO_S21	180322-190603	readsAdapterNotFoundPerc	2.95839385079166
32151161_EXO_S19	180322-190603	readsAdapterNotFoundPerc	3.84316602674304
32151113_EXO_S24	180322-190603	readsAdapterNotFoundPerc	2.89859299064777
32140243_EXO_S2	180322-190603	readsAdapterNotFoundPerc	2.99221938033541
32150300_EXO_S4	180322-190603	readsAdapterNotFoundPerc	3.7120404182234
32151662_EXO_S25	180322-190603	readsAdapterNotFoundPerc	3.20170907475718
32150296_EXO_S34	180322-190603	readsAdapterNotFoundPerc	3.12730566221754
32151649_EXO_S7	180322-190603	readsAdapterNotFoundPerc	3.09601388390753
32151808_EXO_S16	180322-190603	readsAdapterNotFoundPerc	2.52087468731681
32152166_EXO_S8	180322-190603	readsAdapterNotFoundPerc	3.56605258466636
32150759_EXO_S26	180322-190603	readsAdapterNotFoundPerc	3.22503943854677
32151206_EXO_S12	180322-190603	readsAdapterNotFoundPerc	3.43765592583303
32151872_EXO_S27	180322-190603	readsAdapterNotFoundPerc	3.73764223398168
